Id,Año,Mes,Día,Rango de hora,Sexo,Rango de edad,Lugar,Provincia
270,2011,Septiembre,Domingo,18:00-23:59,Hombre,0-4,Piscina,La Romana
271,2011,Septiembre,Martes,18:00-23:59,Hombre,9-May,Río,La Altagracia
272,2011,Septiembre,Viernes, 6:00-11:59,Hombre,N/D,Río,Espaillat
273,2011,Octubre,Sábado, 6:00-11:59,Hombre,55-59,Río,Hermanas Mirabal
274,2011,Octubre,Domingo,18:00-23:59,Hombre,20-24,Río,Monte Plata
275,2011,Octubre,Lunes,12:00-17:59,Hombre,20-24,Río,Peravia
276,2011,Octubre,Lunes,12:00-17:59,Hombre,14-Oct,Río,La Altagracia
277,2011,Octubre,Martes, 6:00-11:59,Hombre,55-59,Río,Santo Domingo
278,2011,Octubre,Martes,12:00-17:59,Hombre,25-29,Río,Monseñor Nouel
279,2011,Octubre,Miércoles,12:00-17:59,Hombre,0-4,Cisterna,Santo Domingo
280,2011,Octubre,Jueves,18:00-23:59,Hombre,20-24,Río,La Altagracia
281,2011,Octubre,Viernes,12:00-17:59,Hombre,25-29,Río,María Trinidad Sánchez
282,2011,Octubre,Domingo, 6:00-11:59,Hombre,N/D,Canal,Santiago
283,2011,Octubre,Domingo, 6:00-11:59,Hombre,20-24,Mar,Puerto Plata
284,2011,Octubre,Martes,12:00-17:59,Hombre,25-29,Canal,Barahona
285,2011,Octubre,Domingo,12:00-17:59,Hombre,25-29,Mar,Puerto Plata
286,2011,Octubre,Domingo,18:00-23:59,Hombre,20-24,Mar,La Romana
287,2011,Octubre,Domingo,18:00-23:59,Hombre,15-19,Mar,La Romana
288,2011,Octubre,Lunes,12:00-17:59,Hombre,55-59,Río,La Vega
289,2011,Octubre,Miércoles,12:00-17:59,Hombre,30-34,Mar,La Altagracia
290,2011,Octubre,Jueves,12:00-17:59,Hombre,9-May,Río,San Cristóbal
291,2011,Octubre,Viernes, 6:00-11:59,Mujer,0-4,Cubeta,Distrito Nacional
292,2011,Octubre,Domingo,12:00-17:59,Hombre,0-4,Cisterna,Santo Domingo
293,2011,Octubre,Lunes,12:00-17:59,Hombre,20-24,Río,Monte Plata
294,2011,Octubre,Lunes,18:00-23:59,Hombre,9-May,Río,Monte Plata
295,2011,Octubre,Martes,12:00-17:59,Hombre,20-24,Río,La Romana
296,2011,Octubre,Sábado,12:00-17:59,Mujer,9-May,Río,La Vega
297,2011,Octubre,Domingo,12:00-17:59,Hombre,N/D,Mar,Samaná
298,2011,Octubre,Domingo,12:00-17:59,Hombre,50-54,Mar,San Pedro de Macorís
299,2011,Octubre,Domingo,12:00-17:59,Hombre,15-19,Río,Monte Plata
300,2011,Noviembre,Miércoles,12:00-17:59,Mujer,14-Oct,Mar,Azua
301,2011,Noviembre,Viernes,18:00-23:59,Mujer,0-4,Cisterna,Santo Domingo
302,2011,Noviembre,Sábado,18:00-23:59,Hombre,14-Oct,Río,Santiago
303,2011,Noviembre,Domingo,0:00-05:59,Hombre,80 y mas,Río,La Altagracia
304,2011,Noviembre,Domingo, 6:00-11:59,Hombre,15-19,Mar,Santo Domingo
305,2011,Noviembre,Domingo,12:00-17:59,Hombre,15-19,Río,Santo Domingo
306,2011,Noviembre,Domingo,12:00-17:59,Hombre,14-Oct,Río,Santo Domingo
307,2011,Noviembre,Domingo,18:00-23:59,Hombre,9-May,Mar,San Cristóbal
308,2011,Noviembre,Lunes,12:00-17:59,Hombre,20-24,Río,Hato Mayor
309,2011,Noviembre,Jueves,12:00-17:59,Hombre,15-19,Río,Valverde
310,2011,Noviembre,Viernes,12:00-17:59,Hombre,30-34,Canal,Santiago
311,2011,Noviembre,Domingo,12:00-17:59,Hombre,20-24,Río,Santo Domingo
312,2011,Noviembre,Martes, 6:00-11:59,Hombre,35-39,Mar,La Altagracia
313,2011,Noviembre,Martes,18:00-23:59,Hombre,50-54,Canal,Santiago
314,2011,Noviembre,Martes,12:00-17:59,Hombre,60-64,Mar,Puerto Plata
315,2011,Noviembre,Martes,12:00-17:59,Hombre,60-64,Mar,Puerto Plata
316,2011,Noviembre,Martes,12:00-17:59,Hombre,15-19,Río,Barahona
317,2011,Noviembre,Domingo,12:00-17:59,Hombre,0-4,Piscina,La Romana
318,2011,Noviembre,Lunes,18:00-23:59,Hombre,20-24,Mar,Distrito Nacional
319,2011,Noviembre,Martes,12:00-17:59,Hombre,14-Oct,Cubeta,San Cristóbal
320,2011,Noviembre,Martes,12:00-17:59,Hombre,70-74,Mar,La Altagracia
